N,itm,Date,t,s
1,1,2025-11-03 18:30:00,13.26,33.2
2,2,2025-11-03 19:30:00,13.26,33.2
3,3,2025-11-03 20:30:00,13.26,33.2
4,4,2025-11-03 21:30:00,13.26,33.2
5,5,2025-11-03 22:30:00,13.27,33.2
6,6,2025-11-03 23:30:00,13.27,33.2
7,7,2025-11-04 00:30:00,13.26,33.2
8,8,2025-11-04 01:30:00,13.26,33.2
9,9,2025-11-04 02:30:00,13.25,33.2
10,10,2025-11-04 03:30:00,13.23,33.2
11,11,2025-11-04 04:30:00,13.21,33.1
12,12,2025-11-04 05:30:00,13.18,33.1
13,13,2025-11-04 06:30:00,13.11,33.0
14,14,2025-11-04 07:30:00,13.0,33.0
15,15,2025-11-04 08:30:00,12.83,32.8
16,16,2025-11-04 09:30:00,12.62,32.7
17,17,2025-11-04 10:30:00,12.43,32.6
18,18,2025-11-04 11:30:00,12.27,32.5
19,19,2025-11-04 12:30:00,12.15,32.4
20,20,2025-11-04 13:30:00,12.04,32.4
21,21,2025-11-04 14:30:00,12.05,32.5
22,22,2025-11-04 15:30:00,12.1,32.5
23,23,2025-11-04 16:30:00,12.13,32.6
24,24,2025-11-04 17:30:00,12.16,32.6
25,25,2025-11-04 18:30:00,12.2,32.7
26,26,2025-11-04 19:30:00,12.26,32.8
27,27,2025-11-04 20:30:00,12.33,32.8
28,28,2025-11-04 21:30:00,12.39,32.9
29,29,2025-11-04 22:30:00,12.42,32.9
30,30,2025-11-04 23:30:00,12.43,32.9
31,31,2025-11-05 00:30:00,12.42,32.9
32,32,2025-11-05 01:30:00,12.39,32.8
33,33,2025-11-05 02:30:00,12.36,32.8
34,34,2025-11-05 03:30:00,12.31,32.7
35,35,2025-11-05 04:30:00,12.28,32.7
36,36,2025-11-05 05:30:00,12.25,32.7
37,37,2025-11-05 06:30:00,12.23,32.6
38,38,2025-11-05 07:30:00,12.21,32.6
39,39,2025-11-05 08:30:00,12.18,32.6
40,40,2025-11-05 09:30:00,12.15,32.5
41,41,2025-11-05 10:30:00,12.12,32.5
42,42,2025-11-05 11:30:00,12.1,32.5
43,43,2025-11-05 12:30:00,12.11,32.5
44,44,2025-11-05 13:30:00,12.2,32.6
45,45,2025-11-05 14:30:00,12.34,32.7
46,46,2025-11-05 15:30:00,12.47,32.8
47,47,2025-11-05 16:30:00,12.55,32.8
48,48,2025-11-05 17:30:00,12.59,32.9
49,49,2025-11-05 18:30:00,12.57,32.8
50,50,2025-11-05 19:30:00,12.5,32.8
51,51,2025-11-05 20:30:00,12.43,32.8
52,52,2025-11-05 21:30:00,12.37,32.7
53,53,2025-11-05 22:30:00,12.34,32.7
54,54,2025-11-05 23:30:00,12.35,32.7
55,55,2025-11-06 00:30:00,12.4,32.7
56,56,2025-11-06 01:30:00,12.48,32.8
57,57,2025-11-06 02:30:00,12.58,32.8
58,58,2025-11-06 03:30:00,12.69,32.8
59,59,2025-11-06 04:30:00,12.78,32.9
60,60,2025-11-06 05:30:00,12.86,32.9
61,61,2025-11-06 06:30:00,12.91,32.9
62,62,2025-11-06 07:30:00,12.95,33.0
63,63,2025-11-06 08:30:00,12.98,33.0
64,64,2025-11-06 09:30:00,13.0,33.0
65,65,2025-11-06 10:30:00,13.02,33.0
66,66,2025-11-06 11:30:00,13.04,33.0
67,67,2025-11-06 12:30:00,13.06,33.0
68,68,2025-11-06 13:30:00,13.03,33.0
69,69,2025-11-06 14:30:00,12.95,33.0
70,70,2025-11-06 15:30:00,12.72,32.9
71,71,2025-11-06 16:30:00,12.4,32.8
72,72,2025-11-06 17:30:00,12.47,32.8
73,73,2025-11-06 18:30:00,12.54,32.9
74,74,2025-11-06 19:30:00,12.6,32.9
