N,itm,Date,u,v
1,1,2025-10-28 18:30:00,,
2,2,2025-10-28 19:30:00,,
3,3,2025-10-28 20:30:00,,
4,4,2025-10-28 21:30:00,,
5,5,2025-10-28 22:30:00,,
6,6,2025-10-28 23:30:00,,
7,7,2025-10-29 00:30:00,,
8,8,2025-10-29 01:30:00,,
9,9,2025-10-29 02:30:00,,
10,10,2025-10-29 03:30:00,,
11,11,2025-10-29 04:30:00,,
12,12,2025-10-29 05:30:00,,
13,13,2025-10-29 06:30:00,,
14,14,2025-10-29 07:30:00,,
15,15,2025-10-29 08:30:00,,
16,16,2025-10-29 09:30:00,,
17,17,2025-10-29 10:30:00,,
18,18,2025-10-29 11:30:00,,
19,19,2025-10-29 12:30:00,,
20,20,2025-10-29 13:30:00,,
21,21,2025-10-29 14:30:00,,
22,22,2025-10-29 15:30:00,,
23,23,2025-10-29 16:30:00,,
24,24,2025-10-29 17:30:00,,
25,25,2025-10-29 18:30:00,,
26,26,2025-10-29 19:30:00,,
27,27,2025-10-29 20:30:00,,
28,28,2025-10-29 21:30:00,,
29,29,2025-10-29 22:30:00,,
30,30,2025-10-29 23:30:00,,
31,31,2025-10-30 00:30:00,,
32,32,2025-10-30 01:30:00,,
33,33,2025-10-30 02:30:00,,
34,34,2025-10-30 03:30:00,,
35,35,2025-10-30 04:30:00,,
36,36,2025-10-30 05:30:00,,
37,37,2025-10-30 06:30:00,,
38,38,2025-10-30 07:30:00,,
39,39,2025-10-30 08:30:00,,
40,40,2025-10-30 09:30:00,,
41,41,2025-10-30 10:30:00,,
42,42,2025-10-30 11:30:00,,
43,43,2025-10-30 12:30:00,,
44,44,2025-10-30 13:30:00,,
45,45,2025-10-30 14:30:00,,
46,46,2025-10-30 15:30:00,,
47,47,2025-10-30 16:30:00,,
48,48,2025-10-30 17:30:00,,
49,49,2025-10-30 18:30:00,,
50,50,2025-10-30 19:30:00,,
51,51,2025-10-30 20:30:00,,
52,52,2025-10-30 21:30:00,,
53,53,2025-10-30 22:30:00,,
54,54,2025-10-30 23:30:00,,
55,55,2025-10-31 00:30:00,,
56,56,2025-10-31 01:30:00,,
57,57,2025-10-31 02:30:00,,
58,58,2025-10-31 03:30:00,,
59,59,2025-10-31 04:30:00,,
60,60,2025-10-31 05:30:00,,
61,61,2025-10-31 06:30:00,,
62,62,2025-10-31 07:30:00,,
63,63,2025-10-31 08:30:00,,
64,64,2025-10-31 09:30:00,,
65,65,2025-10-31 10:30:00,,
66,66,2025-10-31 11:30:00,,
67,67,2025-10-31 12:30:00,,
68,68,2025-10-31 13:30:00,,
69,69,2025-10-31 14:30:00,,
70,70,2025-10-31 15:30:00,,
