N,itm,Date,t,s
1,1,2025-10-09 18:30:00,20.28,33.7
2,2,2025-10-09 19:30:00,20.26,33.7
3,3,2025-10-09 20:30:00,20.25,33.7
4,4,2025-10-09 21:30:00,20.23,33.7
5,5,2025-10-09 22:30:00,20.22,33.7
6,6,2025-10-09 23:30:00,20.21,33.7
7,7,2025-10-10 00:30:00,20.2,33.7
8,8,2025-10-10 01:30:00,20.19,33.7
9,9,2025-10-10 02:30:00,20.18,33.7
10,10,2025-10-10 03:30:00,20.18,33.8
11,11,2025-10-10 04:30:00,20.15,33.8
12,12,2025-10-10 05:30:00,20.05,33.8
13,13,2025-10-10 06:30:00,19.95,33.9
14,14,2025-10-10 07:30:00,19.87,33.9
15,15,2025-10-10 08:30:00,19.83,33.9
16,16,2025-10-10 09:30:00,19.85,33.9
17,17,2025-10-10 10:30:00,19.94,33.8
18,18,2025-10-10 11:30:00,20.0,33.8
19,19,2025-10-10 12:30:00,20.02,33.8
20,20,2025-10-10 13:30:00,20.0,33.8
21,21,2025-10-10 14:30:00,19.98,33.8
22,22,2025-10-10 15:30:00,19.96,33.8
23,23,2025-10-10 16:30:00,19.94,33.8
24,24,2025-10-10 17:30:00,19.93,33.8
25,25,2025-10-10 18:30:00,19.91,33.8
26,26,2025-10-10 19:30:00,19.9,33.8
27,27,2025-10-10 20:30:00,19.88,33.8
28,28,2025-10-10 21:30:00,19.87,33.8
29,29,2025-10-10 22:30:00,19.86,33.8
30,30,2025-10-10 23:30:00,19.85,33.8
31,31,2025-10-11 00:30:00,19.85,33.8
32,32,2025-10-11 01:30:00,19.85,33.8
33,33,2025-10-11 02:30:00,19.85,33.8
34,34,2025-10-11 03:30:00,19.86,33.8
35,35,2025-10-11 04:30:00,19.85,33.8
36,36,2025-10-11 05:30:00,19.81,33.9
37,37,2025-10-11 06:30:00,19.78,33.9
38,38,2025-10-11 07:30:00,19.76,33.9
39,39,2025-10-11 08:30:00,19.73,33.9
40,40,2025-10-11 09:30:00,19.68,33.9
41,41,2025-10-11 10:30:00,19.6,33.9
42,42,2025-10-11 11:30:00,19.51,33.9
43,43,2025-10-11 12:30:00,19.45,33.9
44,44,2025-10-11 13:30:00,19.44,33.9
45,45,2025-10-11 14:30:00,19.45,33.9
46,46,2025-10-11 15:30:00,19.46,33.9
47,47,2025-10-11 16:30:00,19.48,33.9
48,48,2025-10-11 17:30:00,19.54,33.9
49,49,2025-10-11 18:30:00,19.63,33.9
50,50,2025-10-11 19:30:00,19.66,33.8
51,51,2025-10-11 20:30:00,19.66,33.8
52,52,2025-10-11 21:30:00,19.65,33.8
53,53,2025-10-11 22:30:00,19.65,33.8
54,54,2025-10-11 23:30:00,19.65,33.8
55,55,2025-10-12 00:30:00,19.66,33.8
56,56,2025-10-12 01:30:00,19.66,33.8
57,57,2025-10-12 02:30:00,19.66,33.8
58,58,2025-10-12 03:30:00,19.66,33.8
59,59,2025-10-12 04:30:00,19.66,33.8
60,60,2025-10-12 05:30:00,19.66,33.8
61,61,2025-10-12 06:30:00,19.66,33.8
62,62,2025-10-12 07:30:00,19.66,33.8
63,63,2025-10-12 08:30:00,19.65,33.8
64,64,2025-10-12 09:30:00,19.64,33.8
65,65,2025-10-12 10:30:00,19.62,33.8
66,66,2025-10-12 11:30:00,19.61,33.8
67,67,2025-10-12 12:30:00,19.59,33.8
68,68,2025-10-12 13:30:00,19.57,33.8
69,69,2025-10-12 14:30:00,19.55,33.8
70,70,2025-10-12 15:30:00,19.52,33.8
71,71,2025-10-12 16:30:00,19.5,33.8
72,72,2025-10-12 17:30:00,19.48,33.8
73,73,2025-10-12 18:30:00,19.46,33.8
74,74,2025-10-12 19:30:00,19.44,33.8
75,75,2025-10-12 20:30:00,19.43,33.8
76,76,2025-10-12 21:30:00,19.42,33.8
77,77,2025-10-12 22:30:00,19.41,33.8
78,78,2025-10-12 23:30:00,19.4,33.8
79,79,2025-10-13 00:30:00,19.4,33.8
80,80,2025-10-13 01:30:00,19.39,33.8
81,81,2025-10-13 02:30:00,19.39,33.8
82,82,2025-10-13 03:30:00,19.38,33.8
83,83,2025-10-13 04:30:00,19.37,33.8
84,84,2025-10-13 05:30:00,19.36,33.8
85,85,2025-10-13 06:30:00,19.36,33.8
86,86,2025-10-13 07:30:00,19.35,33.8
87,87,2025-10-13 08:30:00,19.34,33.8
88,88,2025-10-13 09:30:00,19.33,33.8
89,89,2025-10-13 10:30:00,19.32,33.8
90,90,2025-10-13 11:30:00,19.31,33.8
91,91,2025-10-13 12:30:00,19.31,33.8
92,92,2025-10-13 13:30:00,19.07,33.9
93,93,2025-10-13 14:30:00,18.74,33.9
94,94,2025-10-13 15:30:00,18.66,33.9
95,95,2025-10-13 16:30:00,18.84,33.9
96,96,2025-10-13 17:30:00,19.15,33.9
97,97,2025-10-13 18:30:00,19.24,33.8
98,98,2025-10-13 19:30:00,19.23,33.8
99,99,2025-10-13 20:30:00,19.23,33.8
100,100,2025-10-13 21:30:00,19.22,33.8
101,101,2025-10-13 22:30:00,19.21,33.8
102,102,2025-10-13 23:30:00,19.21,33.8
103,103,2025-10-14 00:30:00,19.22,33.8
104,104,2025-10-14 01:30:00,19.22,33.8
105,105,2025-10-14 02:30:00,19.22,33.8
106,106,2025-10-14 03:30:00,19.21,33.8
107,107,2025-10-14 04:30:00,19.2,33.8
108,108,2025-10-14 05:30:00,19.2,33.8
109,109,2025-10-14 06:30:00,19.2,33.8
110,110,2025-10-14 07:30:00,19.18,33.8
111,111,2025-10-14 08:30:00,19.14,33.8
112,112,2025-10-14 09:30:00,19.08,33.9
113,113,2025-10-14 10:30:00,19.1,33.9
114,114,2025-10-14 11:30:00,19.16,33.8
115,115,2025-10-14 12:30:00,19.18,33.8
116,116,2025-10-14 13:30:00,19.15,33.9
117,117,2025-10-14 14:30:00,18.98,33.9
118,118,2025-10-14 15:30:00,18.79,33.9
119,119,2025-10-14 16:30:00,18.77,33.9
120,120,2025-10-14 17:30:00,18.84,33.9
121,121,2025-10-14 18:30:00,18.99,33.9
122,122,2025-10-14 19:30:00,19.09,33.9
123,123,2025-10-14 20:30:00,19.11,33.8
124,124,2025-10-14 21:30:00,19.11,33.8
125,125,2025-10-14 22:30:00,19.11,33.8
126,126,2025-10-14 23:30:00,19.12,33.8
127,127,2025-10-15 00:30:00,19.14,33.8
128,128,2025-10-15 01:30:00,19.15,33.8
129,129,2025-10-15 02:30:00,19.15,33.8
130,130,2025-10-15 03:30:00,19.15,33.8
131,131,2025-10-15 04:30:00,19.14,33.8
132,132,2025-10-15 05:30:00,19.13,33.8
133,133,2025-10-15 06:30:00,19.13,33.8
134,134,2025-10-15 07:30:00,19.13,33.8
135,135,2025-10-15 08:30:00,19.12,33.8
136,136,2025-10-15 09:30:00,19.04,33.9
137,137,2025-10-15 10:30:00,18.85,33.9
138,138,2025-10-15 11:30:00,18.73,33.9
139,139,2025-10-15 12:30:00,18.8,33.9
140,140,2025-10-15 13:30:00,18.84,33.9
141,141,2025-10-15 14:30:00,18.74,33.9
142,142,2025-10-15 15:30:00,18.62,33.9
143,143,2025-10-15 16:30:00,18.64,33.9
144,144,2025-10-15 17:30:00,18.7,33.9
145,145,2025-10-15 18:30:00,18.75,33.9
146,146,2025-10-15 19:30:00,18.84,33.9
147,147,2025-10-15 20:30:00,18.94,33.9
148,148,2025-10-15 21:30:00,19.0,33.9
149,149,2025-10-15 22:30:00,19.05,33.9
150,150,2025-10-15 23:30:00,19.08,33.8
151,151,2025-10-16 00:30:00,19.1,33.8
152,152,2025-10-16 01:30:00,19.11,33.8
153,153,2025-10-16 02:30:00,19.1,33.8
154,154,2025-10-16 03:30:00,19.09,33.8
155,155,2025-10-16 04:30:00,19.08,33.8
156,156,2025-10-16 05:30:00,19.02,33.9
157,157,2025-10-16 06:30:00,18.94,33.9
158,158,2025-10-16 07:30:00,18.96,33.9
159,159,2025-10-16 08:30:00,18.97,33.9
160,160,2025-10-16 09:30:00,18.94,33.9
161,161,2025-10-16 10:30:00,18.85,33.9
162,162,2025-10-16 11:30:00,18.71,33.9
163,163,2025-10-16 12:30:00,18.66,33.9
164,164,2025-10-16 13:30:00,18.67,33.9
165,165,2025-10-16 14:30:00,18.62,33.9
166,166,2025-10-16 15:30:00,18.45,33.9
167,167,2025-10-16 16:30:00,18.31,33.9
168,168,2025-10-16 17:30:00,18.34,33.9
169,169,2025-10-16 18:30:00,18.43,33.9
170,170,2025-10-16 19:30:00,18.46,33.9
171,171,2025-10-16 20:30:00,18.53,33.9
172,172,2025-10-16 21:30:00,18.63,33.9
173,173,2025-10-16 22:30:00,18.74,33.9
174,174,2025-10-16 23:30:00,18.83,33.9
175,175,2025-10-17 00:30:00,18.9,33.9
176,176,2025-10-17 01:30:00,18.95,33.9
177,177,2025-10-17 02:30:00,18.99,33.9
178,178,2025-10-17 03:30:00,19.0,33.9
179,179,2025-10-17 04:30:00,19.0,33.9
180,180,2025-10-17 05:30:00,18.98,33.9
181,181,2025-10-17 06:30:00,18.96,33.9
182,182,2025-10-17 07:30:00,18.93,33.9
183,183,2025-10-17 08:30:00,18.91,33.9
184,184,2025-10-17 09:30:00,18.9,33.9
185,185,2025-10-17 10:30:00,18.89,33.9
186,186,2025-10-17 11:30:00,18.86,33.9
187,187,2025-10-17 12:30:00,18.77,33.9
188,188,2025-10-17 13:30:00,18.64,33.9
189,189,2025-10-17 14:30:00,18.67,33.9
190,190,2025-10-17 15:30:00,18.79,33.9
191,191,2025-10-17 16:30:00,18.8,33.9
192,192,2025-10-17 17:30:00,18.79,33.9
193,193,2025-10-17 18:30:00,18.76,33.8
194,194,2025-10-17 19:30:00,18.71,33.8
195,195,2025-10-17 20:30:00,18.68,33.8
196,196,2025-10-17 21:30:00,18.65,33.8
